,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002 Total,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Total,,,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 Total,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005 Total,,,,,Grand Total,,,,
INTERCONTI,Hôtel Intercontinental,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37'239.65,40'069.90,40'069.90,0.00,0.00,87'294.85,93'929.10,93'929.10,0.00,0.00,92'607.20,99'645.40,99'645.40,0.00,0.00,81'259.80,87'435.55,87'435.55,0.00,0.00,80'660.75,86'791.10,86'791.10,0.00,0.00,42'328.75,45'545.90,45'545.90,0.00,0.00,51'160.40,55'048.60,55'048.60,0.00,0.00,472'551.40,508'465.55,508'465.55,0.00,0.00,32'854.35,35'351.30,35'351.30,0.00,0.00,53'258.85,57'306.50,57'306.50,0.00,0.00,61'603.10,66'284.85,66'284.85,0.00,0.00,50'174.65,53'987.95,53'987.95,0.00,0.00,53'284.30,57'333.90,57'333.90,0.00,0.00,76'999.05,82'851.15,82'851.15,0.00,0.00,50'472.05,54'307.95,54'307.95,0.00,0.00,48'441.20,52'122.85,52'122.85,0.00,0.00,53'522.75,57'590.40,57'590.40,0.00,0.00,30'356.15,32'663.40,32'663.40,0.00,0.00,36'721.60,39'512.45,39'512.45,0.00,0.00,25'753.95,27'711.25,27'711.25,0.00,0.00,573'442.00,617'023.95,617'023.95,0.00,0.00,32'218.50,34'667.10,34'667.10,0.00,0.00,31'583.05,33'983.50,33'983.50,0.00,0.00,59'075.40,63'565.30,63'565.30,0.00,0.00,57'384.95,61'746.05,61'746.05,0.00,0.00,48'937.65,52'656.95,52'656.95,0.00,0.00,57'000.55,61'332.65,61'332.65,0.00,0.00,45'225.75,48'662.95,48'662.95,0.00,0.00,63'745.50,68'590.25,68'590.25,0.00,0.00,60'170.05,64'742.95,64'742.95,0.00,0.00,65'188.95,70'143.40,70'143.40,0.00,0.00,57'843.15,62'239.25,62'239.25,0.00,0.00,33'408.60,35'947.60,35'947.60,0.00,0.00,611'782.10,658'277.95,658'277.95,0.00,0.00,1'657'775.50,1'783'767.45,1'783'767.45,0.00,0.00
KASHMIR,Winning & Butt SARL,465,1'406.40,1'513.30,1'513.30,0.00,0.00,1'376.00,1'480.60,1'480.60,0.00,0.00,1'471.20,1'583.00,1'583.00,0.00,0.00,1'629.20,1'753.00,1'753.00,0.00,0.00,1'389.20,1'494.75,1'494.75,0.00,0.00,1'280.00,1'377.30,1'377.30,0.00,0.00,,,,,,,,,,,8'552.00,9'201.95,9'201.95,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8'552.00,9'201.95,9'201.95,0.00,0.00
KEMPINSKI,Le Palace Genève SA,296,,,,,,4'328.25,4'657.20,4'657.20,0.00,0.00,,,,,,1'482.00,1'594.65,1'594.65,0.00,0.00,,,,,,,,,,,,,,,,,,,,,5'810.25,6'251.85,6'251.85,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4'149.00,4'464.30,4'464.30,0.00,0.00,,,,,,,,,,,,,,,,,,,,,4'149.00,4'464.30,4'464.30,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5'714.25,6'148.55,6'148.55,0.00,0.00,1'755.60,1'889.05,1'889.05,0.00,0.00,,,,,,,,,,,7'469.85,8'037.60,8'037.60,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'689.10,1'817.45,1'817.45,0.00,0.00,,,,,,,,,,,1'689.10,1'817.45,1'817.45,0.00,0.00,19'118.20,20'571.20,20'571.20,0.00,0.00
LAC,Hôtel du Lac  Vevey SA,451,8'660.65,9'318.70,9'318.70,0.00,0.00,8'794.30,9'462.70,9'462.70,0.00,0.00,12'066.15,12'983.20,12'983.20,0.00,0.00,10'006.45,10'767.00,10'767.00,0.00,0.00,9'257.15,9'960.65,9'960.65,0.00,0.00,7'813.65,8'407.40,8'407.40,0.00,0.00,5'820.50,6'262.90,6'262.90,0.00,0.00,5'468.10,5'883.75,5'883.75,0.00,0.00,67'886.95,73'046.30,73'046.30,0.00,0.00,5'506.20,5'924.75,5'924.75,0.00,0.00,4'266.70,4'591.00,4'591.00,0.00,0.00,5'046.95,5'430.40,5'430.40,0.00,0.00,5'790.20,6'230.35,6'230.35,0.00,0.00,8'390.75,9'028.65,9'028.65,0.00,0.00,9'721.65,10'460.45,10'460.45,0.00,0.00,12'313.10,13'248.85,13'248.85,0.00,0.00,8'279.90,8'909.25,8'909.25,0.00,0.00,10'376.70,11'165.20,11'165.20,0.00,0.00,6'458.05,6'948.80,6'948.80,0.00,0.00,5'447.25,5'861.40,5'861.40,0.00,0.00,2'330.00,2'507.15,2'507.15,0.00,0.00,83'927.45,90'306.25,90'306.25,0.00,0.00,,,,,,3'699.70,3'980.85,3'980.85,0.00,0.00,5'570.10,5'993.40,5'993.40,0.00,0.00,4'621.55,4'972.75,4'972.75,0.00,0.00,7'533.70,8'106.40,8'106.40,0.00,0.00,9'758.60,10'500.20,10'500.20,0.00,0.00,10'251.60,11'030.90,11'030.90,0.00,0.00,8'843.65,9'515.70,9'515.70,0.00,0.00,9'423.95,10'140.15,10'140.15,0.00,0.00,4'787.20,5'151.10,5'151.10,0.00,0.00,4'584.60,4'933.05,4'933.05,0.00,0.00,3'050.40,3'282.25,3'282.25,0.00,0.00,72'125.05,77'606.75,77'606.75,0.00,0.00,-1'914.40,-2'059.85,-2'059.85,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1'914.40,-2'059.85,-2'059.85,0.00,0.00,222'025.05,238'899.45,238'899.45,0.00,0.00
LE BOULEVA,Hôtel Boulevard,417,2'925.15,3'147.35,3'147.35,0.00,0.00,3'223.05,3'467.90,3'467.90,0.00,0.00,2'778.35,2'989.45,2'989.45,0.00,0.00,2'514.60,2'705.65,2'705.65,0.00,0.00,3'230.70,3'476.25,3'476.25,0.00,0.00,2'754.70,2'964.10,2'964.10,0.00,0.00,2'411.00,2'594.30,2'594.30,0.00,0.00,2'065.70,2'222.70,2'222.70,0.00,0.00,21'903.25,23'567.70,23'567.70,0.00,0.00,2'183.00,2'349.00,2'349.00,0.00,0.00,2'064.35,2'221.30,2'221.30,0.00,0.00,2'246.75,2'417.50,2'417.50,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6'494.10,6'987.80,6'987.80,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28'397.35,30'555.50,30'555.50,0.00,0.00
LE GREY,Compass Group (Suisse) SA,237,1'402.45,1'509.10,1'509.10,0.00,0.00,1'505.00,1'619.40,1'619.40,0.00,0.00,1'067.15,1'148.35,1'148.35,0.00,0.00,954.20,1'026.75,1'026.75,0.00,0.00,2'065.10,2'222.10,2'222.10,0.00,0.00,1'295.25,1'393.65,1'393.65,0.00,0.00,2'240.10,2'410.45,2'410.45,0.00,0.00,1'238.20,1'332.30,1'332.30,0.00,0.00,11'767.45,12'662.10,12'662.10,0.00,0.00,1'231.55,1'325.05,1'325.05,0.00,0.00,1'165.50,1'254.15,1'254.15,0.00,0.00,898.85,967.10,967.10,0.00,0.00,838.50,902.20,902.20,0.00,0.00,1'220.45,1'313.20,1'313.20,0.00,0.00,986.80,1'061.75,1'061.75,0.00,0.00,721.75,776.60,776.60,0.00,0.00,716.40,770.85,770.85,0.00,0.00,1'211.80,1'303.85,1'303.85,0.00,0.00,1'100.30,1'183.80,1'183.80,0.00,0.00,1'736.50,1'868.50,1'868.50,0.00,0.00,1'216.30,1'308.70,1'308.70,0.00,0.00,13'044.70,14'035.75,14'035.75,0.00,0.00,840.55,904.50,904.50,0.00,0.00,899.15,967.50,967.50,0.00,0.00,684.35,736.35,736.35,0.00,0.00,915.90,985.55,985.55,0.00,0.00,613.95,660.60,660.60,0.00,0.00,1'136.60,1'222.95,1'222.95,0.00,0.00,497.55,535.40,535.40,0.00,0.00,601.90,647.65,647.65,0.00,0.00,721.10,775.85,775.85,0.00,0.00,968.20,1'041.75,1'041.75,0.00,0.00,1'342.10,1'444.10,1'444.10,0.00,0.00,805.30,866.45,866.45,0.00,0.00,10'026.65,10'788.65,10'788.65,0.00,0.00,486.45,523.40,523.40,0.00,0.00,654.75,704.55,704.55,0.00,0.00,697.25,750.15,750.15,0.00,0.00,950.80,1'023.10,1'023.10,0.00,0.00,884.90,952.20,952.20,0.00,0.00,767.50,825.80,825.80,0.00,0.00,760.30,818.10,818.10,0.00,0.00,627.15,674.85,674.85,0.00,0.00,1'189.20,1'279.55,1'279.55,0.00,0.00,1'016.15,1'093.45,1'093.45,0.00,0.00,1'296.05,1'394.50,1'394.50,0.00,0.00,734.40,790.20,790.20,0.00,0.00,10'064.90,10'829.85,10'829.85,0.00,0.00,44'903.70,48'316.35,48'316.35,0.00,0.00
MARCHE,Hôtel du Marché,351,1'200.30,1'291.60,1'291.60,0.00,0.00,1'138.45,1'225.05,1'225.05,0.00,0.00,1'081.95,1'164.15,1'164.15,0.00,0.00,1'323.90,1'424.50,1'424.50,0.00,0.00,1'113.55,1'198.10,1'198.10,0.00,0.00,1'168.85,1'257.65,1'257.65,0.00,0.00,1'070.05,1'151.30,1'151.30,0.00,0.00,,,,,,8'097.05,8'712.35,8'712.35,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8'097.05,8'712.35,8'712.35,0.00,0.00
MARINES,Les Marines,388,1'748.00,1'880.80,1'880.80,0.00,0.00,1'754.00,1'887.25,1'887.25,0.00,0.00,1'758.00,1'891.60,1'891.60,0.00,0.00,1'842.00,1'982.05,1'982.05,0.00,0.00,1'886.00,2'029.35,2'029.35,0.00,0.00,1'674.45,1'801.70,1'801.70,0.00,0.00,1'690.00,1'818.40,1'818.40,0.00,0.00,1'658.00,1'783.95,1'783.95,0.00,0.00,14'010.45,15'075.10,15'075.10,0.00,0.00,1'876.60,2'019.20,2'019.20,0.00,0.00,1'768.00,1'902.30,1'902.30,0.00,0.00,1'709.40,1'839.25,1'839.25,0.00,0.00,1'807.20,1'944.55,1'944.55,0.00,0.00,1'840.00,1'979.80,1'979.80,0.00,0.00,1'800.00,1'936.80,1'936.80,0.00,0.00,1'972.00,2'121.90,2'121.90,0.00,0.00,1'780.00,1'915.25,1'915.25,0.00,0.00,1'824.00,1'962.60,1'962.60,0.00,0.00,1'668.00,1'794.80,1'794.80,0.00,0.00,1'644.00,1'768.90,1'768.90,0.00,0.00,1'520.00,1'635.50,1'635.50,0.00,0.00,21'209.20,22'820.85,22'820.85,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35'219.65,37'895.95,37'895.95,0.00,0.00
MIDI,The New Midi,386,10'167.50,10'940.20,10'940.20,0.00,0.00,11'293.85,12'152.30,12'152.30,0.00,0.00,12'985.40,13'972.35,13'972.35,0.00,0.00,14'706.65,15'824.40,15'824.40,0.00,0.00,9'652.00,10'385.60,10'385.60,0.00,0.00,11'263.70,12'119.75,12'119.75,0.00,0.00,9'546.60,10'272.15,10'272.15,0.00,0.00,7'067.50,7'604.70,7'604.70,0.00,0.00,86'683.20,93'271.45,93'271.45,0.00,0.00,7'670.15,8'253.05,8'253.05,0.00,0.00,8'347.30,8'981.75,8'981.75,0.00,0.00,10'519.40,11'318.85,11'318.85,0.00,0.00,9'398.15,10'112.40,10'112.40,0.00,0.00,10'519.65,11'319.30,11'319.30,0.00,0.00,10'846.65,11'671.00,11'671.00,0.00,0.00,13'207.20,14'210.85,14'210.85,0.00,0.00,10'088.50,10'855.25,10'855.25,0.00,0.00,11'227.35,12'080.65,12'080.65,0.00,0.00,10'628.60,11'436.40,11'436.40,0.00,0.00,10'138.90,10'909.50,10'909.50,0.00,0.00,8'875.30,9'549.80,9'549.80,0.00,0.00,121'467.15,130'698.80,130'698.80,0.00,0.00,6'596.65,7'098.05,7'098.05,0.00,0.00,8'543.00,9'192.35,9'192.35,0.00,0.00,10'284.95,11'066.60,11'066.60,0.00,0.00,9'773.80,10'516.75,10'516.75,0.00,0.00,9'705.95,10'443.65,10'443.65,0.00,0.00,11'863.50,12'765.10,12'765.10,0.00,0.00,9'102.80,9'794.55,9'794.55,0.00,0.00,9'274.25,9'979.10,9'979.10,0.00,0.00,10'029.60,10'791.80,10'791.80,0.00,0.00,8'821.90,9'492.40,9'492.40,0.00,0.00,9'383.85,10'096.95,10'096.95,0.00,0.00,7'598.35,8'175.80,8'175.80,0.00,0.00,110'978.60,119'413.10,119'413.10,0.00,0.00,6'622.55,7'125.85,7'125.85,0.00,0.00,6'549.15,7'046.90,7'046.90,0.00,0.00,9'076.90,9'766.80,9'766.80,0.00,0.00,9'378.65,10'091.40,10'091.40,0.00,0.00,8'609.10,9'263.45,9'263.45,0.00,0.00,11'454.05,12'324.45,12'324.45,0.00,0.00,8'039.10,8'650.15,8'650.15,0.00,0.00,9'150.95,9'846.35,9'846.35,0.00,0.00,8'929.45,9'608.15,9'608.15,0.00,0.00,9'365.45,10'077.15,10'077.15,0.00,0.00,7'227.65,7'777.00,7'777.00,0.00,0.00,4'808.00,5'173.50,5'173.50,0.00,0.00,99'211.00,106'751.15,106'751.15,0.00,0.00,418'339.95,450'134.50,450'134.50,0.00,0.00
MILLEPASTI,Restaurant Millepasti,450,1'658.65,1'784.60,1'784.60,0.00,0.00,1'116.10,1'200.90,1'200.90,0.00,0.00,1'004.30,1'080.60,1'080.60,0.00,0.00,1'057.30,1'137.65,1'137.65,0.00,0.00,,,,,,243.80,262.35,262.35,0.00,0.00,,,,,,,,,,,5'080.15,5'466.10,5'466.10,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5'080.15,5'466.10,5'466.10,0.00,0.00
MODERNE,Mano Sarl,496,,,,,,,,,,,,,,,,1'094.60,1'177.80,1'177.80,0.00,0.00,5'130.65,5'520.50,5'520.50,0.00,0.00,6'167.20,6'635.90,6'635.90,0.00,0.00,4'861.70,5'231.10,5'231.10,0.00,0.00,3'935.35,4'234.40,4'234.40,0.00,0.00,21'189.50,22'799.70,22'799.70,0.00,0.00,3'541.65,3'810.80,3'810.80,0.00,0.00,4'400.65,4'735.10,4'735.10,0.00,0.00,5'604.60,6'030.55,6'030.55,0.00,0.00,4'862.50,5'232.00,5'232.00,0.00,0.00,6'135.95,6'602.30,6'602.30,0.00,0.00,5'023.35,5'405.10,5'405.10,0.00,0.00,6'302.85,6'782.05,6'782.05,0.00,0.00,4'110.65,4'423.10,4'423.10,0.00,0.00,5'044.80,5'428.25,5'428.25,0.00,0.00,5'315.00,5'718.95,5'718.95,0.00,0.00,4'549.10,4'894.90,4'894.90,0.00,0.00,4'700.60,5'057.85,5'057.85,0.00,0.00,59'591.70,64'120.95,64'120.95,0.00,0.00,3'334.10,3'587.45,3'587.45,0.00,0.00,3'414.30,3'673.75,3'673.75,0.00,0.00,4'713.75,5'072.00,5'072.00,0.00,0.00,3'901.25,4'197.75,4'197.75,0.00,0.00,4'093.10,4'404.15,4'404.15,0.00,0.00,4'751.85,5'112.90,5'112.90,0.00,0.00,5'123.40,5'512.80,5'512.80,0.00,0.00,3'874.40,4'168.80,4'168.80,0.00,0.00,4'611.05,4'961.50,4'961.50,0.00,0.00,5'363.25,5'770.85,5'770.85,0.00,0.00,4'203.85,4'523.40,4'523.40,0.00,0.00,3'893.15,4'189.10,4'189.10,0.00,0.00,51'277.45,55'174.45,55'174.45,0.00,0.00,3'227.55,3'472.80,3'472.80,0.00,0.00,3'829.25,4'120.25,4'120.25,0.00,0.00,5'343.40,5'749.60,5'749.60,0.00,0.00,4'910.40,5'283.55,5'283.55,0.00,0.00,4'678.95,5'034.60,5'034.60,0.00,0.00,4'783.25,5'146.75,5'146.75,0.00,0.00,4'995.90,5'375.50,5'375.50,0.00,0.00,4'492.55,4'833.90,4'833.90,0.00,0.00,4'854.40,5'223.30,5'223.30,0.00,0.00,4'671.05,5'026.00,5'026.00,0.00,0.00,4'204.45,4'523.95,4'523.95,0.00,0.00,3'549.45,3'819.25,3'819.25,0.00,0.00,53'540.60,57'609.45,57'609.45,0.00,0.00,185'599.25,199'704.55,199'704.55,0.00,0.00
MOEVENPICK,Moevenpick Hôtel Genève,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14'103.25,15'175.10,15'175.10,0.00,0.00,14'103.25,15'175.10,15'175.10,0.00,0.00,44'531.25,47'915.50,47'915.50,0.00,0.00,50'185.55,53'999.60,53'999.60,0.00,0.00,59'405.80,63'920.65,63'920.65,0.00,0.00,52'396.90,56'378.95,56'378.95,0.00,0.00,50'239.50,54'057.75,54'057.75,0.00,0.00,60'148.95,64'720.35,64'720.35,0.00,0.00,55'624.80,59'852.25,59'852.25,0.00,0.00,55'308.55,59'511.90,59'511.90,0.00,0.00,61'977.95,66'688.35,66'688.35,0.00,0.00,52'115.75,56'076.35,56'076.35,0.00,0.00,51'256.20,55'151.65,55'151.65,0.00,0.00,42'246.65,45'457.45,45'457.45,0.00,0.00,635'437.85,683'730.75,683'730.75,0.00,0.00,649'541.10,698'905.85,698'905.85,0.00,0.00
MONT RIANT,Hôtel Mont-Riant,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.15,50.75,50.75,0.00,0.00,56.35,60.65,60.65,0.00,0.00,98.45,105.95,105.95,0.00,0.00,40.00,43.05,43.05,0.00,0.00,15.20,16.35,16.35,0.00,0.00,95.20,102.45,102.45,0.00,0.00,35.20,37.90,37.90,0.00,0.00,387.55,417.10,417.10,0.00,0.00,29.95,32.25,32.25,0.00,0.00,,,,,,97.70,105.15,105.15,0.00,0.00,,,,,,,,,,,,,,,,9.25,9.95,9.95,0.00,0.00,,,,,,26.05,28.05,28.05,0.00,0.00,,,,,,,,,,,,,,,,162.95,175.40,175.40,0.00,0.00,,,,,,,,,,,103.30,111.15,111.15,0.00,0.00,161.00,173.20,173.20,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.90,89.20,89.20,0.00,0.00,347.20,373.55,373.55,0.00,0.00,897.70,966.05,966.05,0.00,0.00
MONTANA,Hôtel Montana Genève,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4'401.80,4'736.35,4'736.35,0.00,0.00,3'696.75,3'977.65,3'977.65,0.00,0.00,2'980.30,3'206.80,3'206.80,0.00,0.00,3'983.10,4'285.75,4'285.75,0.00,0.00,3'589.80,3'862.65,3'862.65,0.00,0.00,3'436.35,3'697.55,3'697.55,0.00,0.00,2'228.90,2'398.35,2'398.35,0.00,0.00,24'317.00,26'165.10,26'165.10,0.00,0.00,24'317.00,26'165.10,26'165.10,0.00,0.00
MONTCHOISI,Montchoisi sa,88,9'780.30,10'523.70,10'523.70,0.00,0.00,9'698.50,10'435.60,10'435.60,0.00,0.00,10'334.60,11'120.05,11'120.05,0.00,0.00,5'014.30,5'395.25,5'395.25,0.00,0.00,9'252.80,9'956.15,9'956.15,0.00,0.00,10'705.20,11'518.75,11'518.75,0.00,0.00,11'956.80,12'865.45,12'865.45,0.00,0.00,9'048.70,9'736.45,9'736.45,0.00,0.00,75'791.20,81'551.40,81'551.40,0.00,0.00,8'894.70,9'570.75,9'570.75,0.00,0.00,9'800.70,10'545.70,10'545.70,0.00,0.00,10'129.50,10'899.30,10'899.30,0.00,0.00,7'872.65,8'470.95,8'470.95,0.00,0.00,10'513.90,11'312.95,11'312.95,0.00,0.00,9'661.85,10'396.10,10'396.10,0.00,0.00,8'449.30,9'091.35,9'091.35,0.00,0.00,3'865.55,4'159.30,4'159.30,0.00,0.00,8'352.00,8'986.80,8'986.80,0.00,0.00,9'004.65,9'688.90,9'688.90,0.00,0.00,10'049.00,10'812.85,10'812.85,0.00,0.00,9'005.70,9'690.15,9'690.15,0.00,0.00,105'599.50,113'625.10,113'625.10,0.00,0.00,7'024.55,7'558.30,7'558.30,0.00,0.00,7'482.90,8'051.65,8'051.65,0.00,0.00,8'572.80,9'224.50,9'224.50,0.00,0.00,6'412.35,6'899.70,6'899.70,0.00,0.00,7'035.75,7'570.50,7'570.50,0.00,0.00,7'871.40,8'469.70,8'469.70,0.00,0.00,5'682.10,6'114.00,6'114.00,0.00,0.00,3'950.60,4'250.75,4'250.75,0.00,0.00,6'718.10,7'228.75,7'228.75,0.00,0.00,6'702.80,7'212.20,7'212.20,0.00,0.00,6'836.95,7'356.60,7'356.60,0.00,0.00,6'004.30,6'460.75,6'460.75,0.00,0.00,80'294.60,86'397.40,86'397.40,0.00,0.00,5'253.95,5'653.20,5'653.20,0.00,0.00,5'681.85,6'113.65,6'113.65,0.00,0.00,6'253.30,6'728.55,6'728.55,0.00,0.00,6'296.45,6'774.90,6'774.90,0.00,0.00,6'019.55,6'477.10,6'477.10,0.00,0.00,6'056.15,6'516.45,6'516.45,0.00,0.00,2'760.15,2'969.95,2'969.95,0.00,0.00,2'933.65,3'156.55,3'156.55,0.00,0.00,6'087.55,6'550.20,6'550.20,0.00,0.00,7'556.05,8'130.30,8'130.30,0.00,0.00,513.60,552.65,552.65,0.00,0.00,,,,,,55'412.25,59'623.50,59'623.50,0.00,0.00,317'097.55,341'197.40,341'197.40,0.00,0.00
MP CHAT.OR,Hôtel Montreux-Palace SA,354,106.00,114.05,114.05,0.00,0.00,117.25,126.15,126.15,0.00,0.00,104.15,112.05,112.05,0.00,0.00,,,,,,105.60,113.65,113.65,0.00,0.00,87.60,94.25,94.25,0.00,0.00,92.10,99.10,99.10,0.00,0.00,97.25,104.65,104.65,0.00,0.00,709.95,763.90,763.90,0.00,0.00,73.00,78.55,78.55,0.00,0.00,,,,,,95.95,103.25,103.25,0.00,0.00,,,,,,110.75,119.15,119.15,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.70,300.95,300.95,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989.65,1'064.85,1'064.85,0.00,0.00
MP HARRY'S,Hôtel Montreux Palace SA,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.15,392.95,392.95,0.00,0.00,554.15,596.35,596.35,0.00,0.00,422.95,455.05,455.05,0.00,0.00,526.70,566.75,566.75,0.00,0.00,341.50,367.55,367.55,0.00,0.00,2'210.45,2'378.65,2'378.65,0.00,0.00,298.15,320.80,320.80,0.00,0.00,290.75,312.90,312.90,0.00,0.00,432.55,465.35,465.35,0.00,0.00,406.95,437.95,437.95,0.00,0.00,430.00,462.65,462.65,0.00,0.00,409.80,440.95,440.95,0.00,0.00,1'050.10,1'130.05,1'130.05,0.00,0.00,349.70,376.25,376.25,0.00,0.00,383.15,412.25,412.25,0.00,0.00,364.05,391.75,391.75,0.00,0.00,474.75,510.80,510.80,0.00,0.00,566.30,609.30,609.30,0.00,0.00,5'456.25,5'871.00,5'871.00,0.00,0.00,339.30,365.10,365.10,0.00,0.00,426.75,459.20,459.20,0.00,0.00,449.00,483.15,483.15,0.00,0.00,518.15,557.55,557.55,0.00,0.00,354.05,380.95,380.95,0.00,0.00,366.10,393.90,393.90,0.00,0.00,957.45,1'030.30,1'030.30,0.00,0.00,388.80,418.40,418.40,0.00,0.00,411.40,442.65,442.65,0.00,0.00,430.05,462.70,462.70,0.00,0.00,621.95,669.25,669.25,0.00,0.00,480.45,516.95,516.95,0.00,0.00,5'743.45,6'180.10,6'180.10,0.00,0.00,13'410.15,14'429.75,14'429.75,0.00,0.00
